,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
y,0.0,0.9928113187125365,0.9547931422512694,0.44725599517581593,0.9982501843707801,0.5217463361191722,0.4376868869465055,0.4557817537614256,0.9838140184985187,0.39815096461596033,0.42120028873800897,0.30572291215025127,0.4212131415688435,0.9443572386761288,0.9198523687146191,0.39700504181811935,0.5817855125620441,0.5071323642902226,0.5011985406485548,0.931010499555643,0.439830600850889,0.3268438907442617,0.4669825421974013,0.9293062860914317,0.4453908831372735,0.9874764798130224,0.8450656662962754,0.49559094410112037,0.9991654410223355,0.9702403219243266,0.5507177070549417,0.5538729754247567,0.41108092119345585,0.5515811763286484,0.4170903044376403,0.5131885627228773,0.4158270172020335,0.46799197343776533,0.4237500251497076,0.19228623110069243
x_1,0.9928113187125365,0.0,0.9193191053215215,0.9878787973296256,0.9855558604963421,0.973782963581413,0.9823251505712987,0.9811836841917017,0.8970172981615678,0.9627006540335258,0.9566021685672861,0.9536555389517865,0.9626435864713997,0.9482893912030218,0.9328222002258469,0.9965770038583851,0.9813793049509749,0.9639940851125997,0.9935800548170638,0.9802067381874396,0.9172536325389057,0.9608851577528204,0.9856399129376726,0.9540628701133008,0.9620569061917722,0.8637390486657632,0.8977717584676594,0.9285109243857705,0.9800728784888405,0.9280695388208962,0.9954379041951341,0.9432311267532505,0.9982055604584298,0.9640267541120482,0.9693077968655699,0.9953256087705055,0.8754345919734001,0.9799162501280144,0.9885103621786189,0.9509824832502716
x_2,0.9547931422512694,0.9193191053215215,0.0,0.9132637949490894,0.9917087510445655,0.9264362376874609,0.9710333387017916,0.9881039792337029,0.9635480028421691,0.9042031513093673,0.898995659607028,0.9008623032173743,0.9190920075270713,0.9711564520009752,0.9270182558835344,0.9537862306180217,0.9542007366159926,0.9536202400594472,0.9883730314238821,0.9481495049171873,0.9811164347731804,0.9555355117537028,0.9024252360432555,0.9805295439542163,0.9611802421739444,0.9843652760007422,0.9672163528020801,0.9529194830896897,0.9901068950318316,0.9156638141616186,0.9820577263977466,0.965000842760769,0.9615341894991954,0.9998357985266442,0.9877949724460839,0.9031358752476746,0.9053064619296851,0.9780979966525318,0.9923117975993307,0.9724297066465429
x_3,0.44725599517581593,0.9878787973296256,0.9132637949490894,0.0,0.9427480461675601,0.6974815048924023,0.6281750272464509,0.7328392673094946,0.9671077707054336,0.283617972800952,0.7175362314407572,0.6724137562325552,0.7292103711326183,0.9884288702387543,0.961286304693051,0.6626524809298492,0.6645066747959891,0.7740741336281578,0.81921103078479,0.844128610631014,0.6862488509359532,0.6134101632374083,0.6852377451634382,0.9728572772235772,0.560441703289039,0.9119328223445609,0.9482600906244673,0.5862254797508872,0.9981690373197765,0.99069253169796,0.6843221101626594,0.6563887060027803,0.7034417119790988,0.8371043346335226,0.6587677290644668,0.7050170226069786,0.6955428601255189,0.6952064307096689,0.7117106495732667,0.5667323394213135
x_4,0.9982501843707801,0.9855558604963421,0.9917087510445655,0.9427480461675601,0.0,0.91822554052997,0.9936095748029024,0.9717630875551803,0.9541901947387256,0.9200563525103739,0.9874885911718798,0.9757081902670918,0.9777091257768045,0.9967188626025536,0.9851646701359622,0.9948072527137207,0.9971233890390022,0.9488342397220664,0.9546048647736058,0.853141513315531,0.984790887959706,0.921614810846291,0.9075829284477391,0.9931652051791591,0.9599343237264935,0.9650437532925636,0.9641692499944345,0.9877797245507705,0.9831698522560276,0.9712643363843538,0.8899727390799105,0.9255880170152119,0.9936753957426044,0.9869732889483336,0.9296817992015548,0.9300746015517956,0.9908198046592054,0.9336660928409363,0.9646590519890466,0.979664653761973
x_5,0.5217463361191722,0.973782963581413,0.9264362376874609,0.6974815048924023,0.91822554052997,0.0,0.5825336467140079,0.6513831781438214,0.9581277750175486,0.9837153423696338,0.6219039737253167,0.5607699543950174,0.6427440574776957,0.968384477269417,0.8831444475280557,0.646738732547234,0.6277777330853935,0.6579930029313246,0.7556104678745346,0.986350165918278,0.5746192257689403,0.5527385199319375,0.7043907382586783,0.9203812907923988,0.5107121871420712,0.9389766954660528,0.9910962953586757,0.6147702609808332,0.9651245919574654,0.926258856827851,0.5538123027838953,0.548323925389519,0.6480354755350276,0.8788461709341948,0.6391234274889261,0.6013691455384869,0.6217958692182208,0.6832418910462511,0.6276291030693422,0.46022261195533176
x_6,0.4376868869465055,0.9823251505712987,0.9710333387017916,0.6281750272464509,0.9936095748029024,0.5825336467140079,0.0,0.6448152516790668,0.9589085715249654,0.397688193390102,0.6566396870938809,0.6169929747718129,0.6872125881248614,0.9342487182288051,0.8709609527249667,0.6651357696039237,0.5952455727289099,0.7172268822110204,0.8153106482620582,0.85795143446545,0.6962757219320327,0.5951304167542838,0.6388895513550887,0.9597292678673137,0.5221979361490638,0.9865045458939486,0.8621538610142934,0.5977669556991572,0.961230686679387,0.9529070902134014,0.6034650510365014,0.5738355537830881,0.6830190332428692,0.8835251798849117,0.6531812647970121,0.6282664540314087,0.6589612767623435,0.7333726272193718,0.6113903418739584,0.49423266295182544
x_7,0.4557817537614256,0.9811836841917017,0.9881039792337029,0.7328392673094946,0.9717630875551803,0.6513831781438214,0.6448152516790668,0.0,0.9856501918464476,0.36858664622455795,0.7055304959371015,0.6457782227623428,0.7180303352234814,0.9921233252421711,0.9425922861148406,0.707459053720854,0.7286398374433146,0.7336291424259014,0.7805272201671538,0.9646752189660218,0.6726098636208762,0.6267832796889368,0.713140742161244,0.9516943149321055,0.6992720544149007,0.9254511926360601,0.8789879497812259,0.7071124330335041,0.9795850433609421,0.8381640890566631,0.7524485654700486,0.6136846229728394,0.709964797958262,0.8994888553590823,0.6968190967852691,0.7900516773315214,0.7155150468853912,0.7304917127290957,0.6928620380569854,0.6071162284208715
x_8,0.9838140184985187,0.8970172981615678,0.9635480028421691,0.9671077707054336,0.9541901947387256,0.9581277750175486,0.9589085715249654,0.9856501918464476,0.0,0.9349631639357602,0.9448785166691477,0.9216660612494475,0.9566040422086782,0.9943698067444885,0.9469113634131928,0.9920774357239165,0.9705488218625884,0.9912966808113547,0.9795567934269584,0.9657566054570237,0.9422130462057391,0.9878036270580962,0.9523564830578582,0.9462197282405781,0.9900204148445026,0.9860687465082277,0.9548066837540155,0.9673761081523081,0.931570043976224,0.9771980075032682,0.953103686567978,0.9141944712862227,0.9914874132605505,0.8798948377582927,0.9308584235572691,0.9161168484823294,0.9859465903974634,0.9529350544165484,0.9936394924020941,0.9580762008221978
x_9,0.39815096461596033,0.9627006540335258,0.9042031513093673,0.283617972800952,0.9200563525103739,0.9837153423696338,0.397688193390102,0.36858664622455795,0.9349631639357602,0.0,0.7313872514044498,0.6855515709722093,0.7346197702243279,0.9968491279574669,0.9544247641758667,0.695904238514666,0.6933766963409462,0.7860506670653761,0.8248739858888622,0.8354091219007378,0.7351063636556041,0.6432803801300018,0.6764646242819263,0.9899559714843319,0.6221335056954687,0.976152016773986,0.8476860416435353,0.6279384362989942,0.9839330973706175,0.9685134521373223,0.7278012094226474,0.6661700779649629,0.723110562646939,0.8503032241243382,0.669656790954213,0.7835124423633724,0.7159659918112575,0.7367615351182497,0.684378903162201,0.6030995310945556
