,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
y,0.0,0.8851213185249276,0.9674403665210044,0.4408388573761587,0.8522483995434442,0.5373545126740646,0.45342111921589245,0.588918689860762,0.8532704157405002,0.45245688584890686,0.47825837125332327,0.36797062748062404,0.450925175956682,0.9189160049429028,0.7737401666904213,0.4991168181113259,0.6025694554749133,0.5213014436146073,0.6103201690475601,0.8162283453996861,0.3467949708746747,0.2161515517277024,0.4076269368067119,0.88895151492375,0.4071560861269461,0.8994813884346252,0.8053080830179239,0.4399491865957972,0.8248231938309303,0.9583911416205685,0.5499374994158145,0.4853188687954749,0.470683935898656,0.7121103849490173,0.5815824417690652,0.5946551024118594,0.44625475263161685,0.49849668658839064,0.555083028389209,0.24069325603074776
x_1,0.8851213185249276,0.0,0.7551873227102848,0.8782433605691669,0.7921939167072878,0.9986862949293969,0.9214015672627179,0.9834859107198891,0.9798581854117805,0.9940261443639357,0.9964085703409302,0.9315795476931648,0.926298349440809,0.991523670447709,0.8578216913276967,0.9940285641716247,0.9587800532835145,0.8736236796101314,0.9731127026235905,0.9775037221617778,0.8453805958918433,0.8437219565038737,0.8910873949494114,0.9857112408464987,0.9278339852861124,0.9074625822126904,0.7315823114643059,0.8396221331912819,0.9760435216725551,0.961662384367849,0.9772178385930772,0.9656480860284491,0.9751654374936828,0.976684012972041,0.9982230651960345,0.9861293941876655,0.8803752361603459,0.9876047936608899,0.7659242643714648,0.887073250407856
x_2,0.9674403665210044,0.7551873227102848,0.0,0.7858821909498195,0.9279201199995669,0.7490860065638196,0.8865535999467209,0.8475554322179546,0.7948553687263058,0.8648330235736087,0.8938659342709345,0.8383553459509081,0.8595861120019579,0.9464721723886279,0.8100652899530429,0.9323252789511913,0.8825729701368964,0.8845020121392455,0.9098762780234719,0.7662298952400364,0.9007009652958189,0.9678324296244859,0.9338395683305282,0.8653932637687579,0.9880250515223775,0.9818488429566194,0.9997468833225088,0.884421764526157,0.9780621579881652,0.8905876940476647,0.8792036054986202,0.7928713304867122,0.908614568475629,0.9187413218549585,0.9478943093050209,0.9728256990426698,0.9589307816298306,0.8927449956776718,0.991605745105199,0.9042375287081147
x_3,0.4408388573761587,0.8782433605691669,0.7858821909498195,0.0,0.8808448097360952,0.8654818392728212,0.6065450046710117,0.8304508013815847,0.9896834837692473,0.21441202607086196,0.7422701672798788,0.7188886520205631,0.7557485099380603,0.937294643947938,0.7950292437585282,0.7435005279895228,0.6048205591720649,0.7532774846444151,0.9224269352465485,0.5795846475072187,0.6538582378605877,0.4745424497343418,0.5095271792899748,0.9763179228496736,0.5551347094468183,0.9165382772257383,0.8506403953742568,0.6443183709151329,0.9611540232283559,0.8889788429036142,0.6085704698581687,0.6367263912465235,0.7879093189172166,0.995576470831621,0.8042746415749876,0.610924030938971,0.6712009363153031,0.7067531706750823,0.9970865207757508,0.6304142820502673
x_4,0.8522483995434442,0.7921939167072878,0.9279201199995669,0.8808448097360952,0.0,0.7695453744826555,0.8967397856543141,0.9844236981755631,0.8412262792250548,0.8606121532888175,0.9723123519999086,0.9478184787124053,0.9190752704785284,0.86121705703091,0.8757071315972522,0.891077054940259,0.8225262687025602,0.8503817125334635,0.9430959423388781,0.836918946823952,0.8598480741342257,0.767678137881492,0.8083202813672843,0.7520553972015669,0.8424174677146052,0.8858141157843356,0.8563598863309627,0.8183344420006685,0.8543638498417865,0.9925399044890032,0.8436273916873683,0.8753787425496772,0.8802476153394503,0.9583330962684738,0.9976198752468312,0.9584744346078209,0.8577467535501104,0.969500053851175,0.6673106222088835,0.7724754669892537
x_5,0.5373545126740646,0.9986862949293969,0.7490860065638196,0.8654818392728212,0.7695453744826555,0.0,0.6344176532649899,0.6121516420214315,0.8989230428217093,0.9811478953763484,0.6727882585813711,0.6347918441108082,0.6935722776794893,0.9781678379784001,0.6799367980397995,0.6410384533824747,0.6532630521670807,0.5981262690110408,0.7140756471921018,0.9836456143162567,0.5957031579790903,0.6526531029227454,0.8582087603482995,0.9800101692045667,0.5014850106185624,0.9845211132375477,0.856754538889049,0.5916042884627668,0.9581956269183233,0.8342457087318209,0.5754980050159539,0.5972148557578174,0.611704786337828,0.8199069321420768,0.6980986870344286,0.8001219022691934,0.6013229947600933,0.7534279421455512,0.6260193496173732,0.49569074459159934
x_6,0.45342111921589245,0.9214015672627179,0.8865535999467209,0.6065450046710117,0.8967397856543141,0.6344176532649899,0.0,0.6805394156401079,0.8656144656399594,0.3437229486020861,0.8037003563412338,0.75500155775195,0.7380596203233414,0.8590764561317811,0.9048788285064036,0.6706493190099103,0.614970417568257,0.7000153764351268,0.8385882461986641,0.7510571227678915,0.5471154860317424,0.4641095907408851,0.5896036943282108,0.9945247223616545,0.5567414310190877,0.957439014798455,0.8704274220427897,0.6159518764472627,0.9658243558203241,0.8641189114292043,0.6224646984865162,0.3939816303335254,0.6888425090481921,0.9434104792078197,0.7258990005586528,0.5289283441407127,0.6859199378703458,0.9119598310295627,0.7809652529720136,0.5816507775864033
x_7,0.588918689860762,0.9834859107198891,0.8475554322179546,0.8304508013815847,0.9844236981755631,0.6121516420214315,0.6805394156401079,0.0,0.9548485965915935,0.4957626583839948,0.7252736935628779,0.6600569375677966,0.6948254213378016,0.9374620218381239,0.6028758355675992,0.7459053415220707,0.6574290962882783,0.6301660499282569,0.8307981779807156,0.8722237479974377,0.8292654381175153,0.7022763600466774,0.7059039142897947,0.9005173597417148,0.7751071804445359,0.9892056775974952,0.7140217168153802,0.7706951263271815,0.9264017155217484,0.8438888193216207,0.8873113462381098,0.6582976715965148,0.8501741691534134,0.9103218804677561,0.8715580885871866,0.9231752869555935,0.9573800453934207,0.7776219591302208,0.8055186209305222,0.8007882717777977
x_8,0.8532704157405002,0.9798581854117805,0.7948553687263058,0.9896834837692473,0.8412262792250548,0.8989230428217093,0.8656144656399594,0.9548485965915935,0.0,0.9683479215952734,0.9177606729736806,0.9535828206852337,0.9312574556300471,0.9088866622703025,0.9576612920330562,0.9214774549209301,0.9183352488950368,0.9006169640312374,0.9689237782792914,0.9920452629106356,0.8784408824960425,0.9847933766450553,0.900460408466428,0.915585814110852,0.906464612503333,0.9175924069106609,0.8469913927070816,0.9887118589709545,0.8930802228737968,0.8853379839066365,0.8197252365370248,0.86447993767282,0.7716783143083206,0.8693074987031835,0.9132302741811643,0.7833212528155566,0.9383978079316373,0.9584309473864598,0.7697519568203897,0.7722274924265841
x_9,0.45245688584890686,0.9940261443639357,0.8648330235736087,0.21441202607086196,0.8606121532888175,0.9811478953763484,0.3437229486020861,0.4957626583839948,0.9683479215952734,0.0,0.7765110515034738,0.7228323019501965,0.718420446479709,0.9299090971402796,0.7910947577784909,0.7497897974441114,0.5906955072320963,0.7318571372286188,0.9390438199507871,0.5623778967096792,0.7135749288443738,0.49516196007910884,0.4832355424339214,0.9613703306562317,0.6418664849880338,0.9533837427751926,0.7984301148844067,0.6911946902326274,0.9619908195123963,0.8722366606473853,0.7209935934066217,0.5446197028924352,0.855885973994977,0.8571581393434768,0.8174767367170401,0.6218049388849429,0.8103156936433652,0.7987878908614197,0.9795272424471286,0.7255450913418745
