,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
y,0.0,0.9967911932374794,0.9231893711726843,0.36088525397954097,0.9706814644843509,0.44869704927092136,0.4182774099754146,0.37866879830798006,0.991984946414672,0.3533570577494597,0.3253683977941437,0.219844275080728,0.3463501257957474,0.9891797976136496,0.9327245979936368,0.3575171828100234,0.4732664177322461,0.36811135815493856,0.42092762399490813,0.9735879194998799,0.342675471660436,0.24141819692082322,0.3794684105097369,0.9781836916118057,0.3701700859735009,0.9641506461496157,0.9539968337490681,0.43721813632794704,0.9568484293883269,0.9717636197079764,0.4487895746419125,0.475857666018066,0.3405686022996248,0.5066851413826391,0.3855521858014108,0.39907359510958407,0.3957921048351143,0.36425515542259956,0.3465339195531135,0.13588125885603486
x_1,0.9967911932374794,0.0,0.93863493986638,0.9896352180358823,0.9923398710953149,0.9979399836824748,0.9592857428887216,0.9726852539935649,0.9868192381590687,0.9930128513308915,0.9965448973281433,0.9825691911876934,0.9711533576806874,0.9755505652618774,0.9851064122644548,0.993264999200753,0.9750496715792398,0.9867469626392377,0.9954456347587892,0.9930977034770813,0.9270750553429292,0.961881295289479,0.9944647616723284,0.9941201657698601,0.9768374722051767,0.8810984362906789,0.9462865009256352,0.9469524704674305,0.9929692725828365,0.9235800452691677,0.9855902897539842,0.9937099305070517,0.9719447072147693,0.9677150027983497,0.9676740219701951,0.9764954321931233,0.9299027900228768,0.9938956322583493,0.9790151904111896,0.9699659608295909
x_2,0.9231893711726843,0.93863493986638,0.0,0.9202534118910826,0.9697579185153373,0.9632566708109714,0.9565653483569955,0.9405943943288131,0.9155307649818054,0.9461635757778198,0.8814171238779418,0.8916306518233394,0.9244710691058573,0.9684971524921709,0.933878656909729,0.9308982839843816,0.9519725104286227,0.963744870609808,0.9755448452292684,0.9985836520490011,0.9548243981796037,0.942551994245521,0.9370421839756012,0.969596059496949,0.9465258632030019,0.9226769597822053,0.9311659612107541,0.942021205378254,0.9435235815371033,0.8849420280589146,0.9576186716301904,0.9560927526244881,0.9212011428749489,0.9483730994403733,0.9561125848327056,0.94999108083916,0.9650490686452594,0.9971806426351684,0.9651400981982475,0.9606672739036244
x_3,0.36088525397954097,0.9896352180358823,0.9202534118910826,0.0,0.9066725803707232,0.5771944728542537,0.617371727689522,0.6135116978194395,0.9303570443811824,0.2763778954641355,0.5718591254301815,0.5299862536650186,0.6283130489738129,0.9533493008354353,0.9902094314952281,0.596326604944347,0.6035607901554383,0.6035103191015264,0.6783541868788442,0.9262481582110142,0.5755354704502422,0.5100776545983956,0.594928620586062,0.9922550775760726,0.5084649886820911,0.976679538603768,0.9573881996934346,0.558681977248678,0.976889063616472,0.9850575628995423,0.5869510073469849,0.5723647111457235,0.6163897917567487,0.7726404900155804,0.5817861618203943,0.6228016013161324,0.6248244835995548,0.6305178695071978,0.6019667457880056,0.4780157360983368
x_4,0.9706814644843509,0.9923398710953149,0.9697579185153373,0.9066725803707232,0.0,0.9705903637646613,0.9894955645604161,0.989106933714978,0.9914640040432523,0.9256894263644332,0.9612349474205027,0.954376721327773,0.957531231104717,0.9773960797220439,0.9556777979748182,0.9961212604390699,0.9777991952691057,0.9827351912105745,0.9716745322976686,0.9525147261642871,0.9750333720413569,0.9983935981924877,0.9899847123737753,0.9341759701982217,0.998064754244363,0.9739784176124743,0.9793703133295183,0.9671567887733596,0.9863278664237712,0.9464293929633597,0.9506284456743938,0.9883168429898564,0.9924254297710942,0.9768736536288412,0.9838468650280038,0.9314376756765789,0.9553873689379947,0.9639441774406222,0.9788216250018885,0.9741729269454246
x_5,0.44869704927092136,0.9979399836824748,0.9632566708109714,0.5771944728542537,0.9705903637646613,0.0,0.5699558125631883,0.5887722085038052,0.9973725261375173,0.8885727541170427,0.515204799833461,0.46811212056431706,0.5754012175938978,0.9890166304749725,0.9249411347898613,0.5628419865524019,0.5544298793583786,0.575357747329,0.6659188741391535,0.9995505971880326,0.5270220448148903,0.4795745429910002,0.5934482867112367,0.9605881485770276,0.45158987163155917,0.9562593823656926,0.9785148016109323,0.5243149008167438,0.9592522760021506,0.9554668060301694,0.5221863833416974,0.5027865618990546,0.556059867594525,0.7702097673094784,0.5689871487016056,0.5428525477824375,0.5939785077876617,0.5921502947161634,0.5851825068810907,0.4249682931039461
x_6,0.4182774099754146,0.9592857428887216,0.9565653483569955,0.617371727689522,0.9894955645604161,0.5699558125631883,0.0,0.568259170026526,0.9986046603949624,0.36372295031387714,0.6170213415937199,0.5574439019061059,0.6150570352426865,0.9685885614165329,0.932545233265164,0.5942980429669559,0.5386717594523869,0.6591514206723634,0.7497872120687126,0.9108492000417459,0.5855217717806773,0.521143024760649,0.5992219197586621,0.9575505443303383,0.4947190622067662,0.945692266189891,0.9081637534396649,0.5583968752385686,0.9758511210905225,0.992368907577094,0.5630486629208507,0.5482879551095481,0.6171108859737993,0.8117656469674654,0.6130440139294555,0.6346765363159438,0.6307185540064151,0.6279053067763293,0.6191562811270857,0.4878007703516153
x_7,0.37866879830798006,0.9726852539935649,0.9405943943288131,0.6135116978194395,0.989106933714978,0.5887722085038052,0.568259170026526,0.0,0.999967875226547,0.30740887809104134,0.5913045961391855,0.5325819254503019,0.6117329404382184,0.9809865953651422,0.9076126402155583,0.6192225324674352,0.6214526409556698,0.6382271835398317,0.7088046307246552,0.9760112730574719,0.5817367952255008,0.5157375477637687,0.5963061514309316,0.9949715266582854,0.5251743616003991,0.8999693504728751,0.9689504607640977,0.5624965151525724,0.9589111666786115,0.9026939084423701,0.5922441692828861,0.5529510944593599,0.5801809277224639,0.7926429647439837,0.6339289109099434,0.6354103236279879,0.650701347326055,0.6032767804908763,0.6174736408202162,0.48572583713298234
x_8,0.991984946414672,0.9868192381590687,0.9155307649818054,0.9303570443811824,0.9914640040432523,0.9973725261375173,0.9986046603949624,0.999967875226547,0.0,0.957721351754056,0.9879557768355278,0.9979919025872054,0.9889656187189713,0.9851092494308353,0.9559878089922592,0.9996372003551911,0.9589839486980138,0.9845516715929511,0.9863609640730312,0.9820539765088232,0.9342786348882199,0.9294643139201314,0.9505971121824796,0.9651213352565364,0.9803829244867932,0.987907888626253,0.9960645585877625,0.9672540042496018,0.9858858678979141,0.954000718492457,0.984265312530823,0.9281356226782714,0.9944864947407336,0.9616366139669135,0.9782300167676361,0.9846688742088442,0.9901706800906269,0.9895681226175566,0.9753812709569301,0.9943112382053608
x_9,0.3533570577494597,0.9930128513308915,0.9461635757778198,0.2763778954641355,0.9256894263644332,0.8885727541170427,0.36372295031387714,0.30740887809104134,0.957721351754056,0.0,0.6325644640597823,0.5789749191333422,0.6454747452422795,0.9702731952078861,0.9698426996975253,0.628627597528904,0.6251606784091368,0.6653605676507103,0.7282748750909367,0.9046556497147972,0.6112554291781318,0.5435208859884582,0.6127537297430551,0.9591388575867128,0.5407701990800327,0.9192439407122864,0.9327076309496224,0.5808728926255606,0.9986792980767174,0.9879639072954387,0.6082917545740028,0.5978806639346441,0.634788765248733,0.8017505793559977,0.6317335534781445,0.6887470293183011,0.6679273662052527,0.6430477747165038,0.6250111920520967,0.5225485879974912
